title/price/year/body-type
Hyundai Santa Fe/$ 34 500/2018 г., 2.2 л., автомат/внедорожник 5 дв., дизель
Hyundai Santa Fe/$ 32 000/2018 г., 2.2 л., автомат/внедорожник 5 дв., дизель
LiXiang One/$ 50 000/2022 г., 1.2 л., вариатор/внедорожник 5 дв., гибрид
BMW 5 серии/$ 36 500/2017 г., 2 л., автомат/седан, бензин
Kia Carnival/$ 42 000/2021 г., 2.2 л., автомат/минивэн, дизель
Mercedes-Benz G-класс AMG/$ 209 000/2020 г., 4 л., автомат/внедорожник 5 дв., бензин
BMW 3 серии/$ 45 000/2021 г., 2 л., автомат/седан, дизель
BMW 5 серии/$ 37 000/2017 г., 2 л., автомат/седан, дизель
Geely Monjaro/$ 36 500/2023 г., 2 л., автомат/внедорожник 5 дв., бензин
Mercedes-Benz G-класс AMG/$ 200 000/2020 г., 4 л., автомат/внедорожник 5 дв., бензин
Mercedes-Benz S-класс/$ 160 000/2022 г., 3 л., автомат/седан, бензин
Kia Carnival/$ 25 900/2018 г., 2.2 л., автомат/минивэн, дизель
Mercedes-Benz S-класс/$ 150 000/2021 г., 2.9 л., автомат/седан, дизель
Land Rover Range Rover Sport/$ 52 000/2015 г., 4.4 л., автомат/внедорожник 5 дв., дизель
Zeekr 001/$ 73 000/2023 г., автомат/лифтбек, электро
Toyota Highlander/$ 35 500/2018 г., 3.5 л., автомат/внедорожник 5 дв., бензин
BMW X5/$ 48 800/2016 г., 4.4 л., автомат/внедорожник 5 дв., бензин
Geely Monjaro/$ 36 500/2023 г., 2 л., автомат/внедорожник 5 дв., бензин
Subaru Forester/$ 5 500/2003 г., 2 л., автомат/универсал, бензин
Toyota Sequoia/$ 15 500/2003 г., 4.7 л., автомат/внедорожник 5 дв., бензин
